Snum,Title,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude
387,Welding shop in Miami,"Miami, Florida",8/20/1982,9,3,11,Yes,White American or European American,Male,25.79653943,-80.20840397
388,Valley High School,"Las Vegas, Nevada",3/19/1982,1,2,3,Yes,White American or European American,Male,36.18931923,-115.3264875
389,University of South Carolina,"Columbia, South Carolina",10/6/1979,2,5,7,Unknown,Black American or African American,Male,34.05098834,-80.82077527
390,Grover Cleveland Elementary School,"San Diego, California",1/29/1979,2,9,11,Yes,White American or European American,Female,32.86357277,-117.1281628
391,Cal State Fullerton,"Fullerton, California",7/12/1976,7,2,9,Yes,White American or European American,Male,33.88404244,-117.92785
392,Los Angeles Computer Learning Center,"Los Angeles, California",2/19/1976,1,7,8,Unknown,White American or European American,Male,34.17622092,-118.5399542
393,Olean High School,"Olean, New York",12/30/1974,3,7,10,No,White American or European American,Male,42.08185369,-78.43213922
394,Clara Barton Elementary School,"Chicago, Illinois",1/17/1974,1,3,4,Yes,Unknown,Male,41.83928045,-87.68818145
395,New Orleans Police Shootings,"New Orleans, Louisiana",12/31/1972,10,13,22,Yes,Black American or African American,Male,30.0687242,-89.93147412
396,St. Aloysius Church,"Spokane, Washington",11/11/1971,2,4,5,Yes,White American or European American,Male,47.67367375,-117.4159843
397,Rose-Mar College of Beauty,"Mesa, Arizona",11/12/1966,5,1,6,Yes,White American or European American,Male,33.42268696,-111.8163202
398,University of Texas at Austin,"Austin, Texas",8/1/1966,17,32,48,Yes,White American or European American,Male,30.1988873,-97.84415949
